Video Name,Action_x,Video Category,Experience Level,Age Group,Video Upload Date,Gender,Likes,Views,Video Length,Region,Link,CONTAINS PERSON,Gen AI Used,#1 tool,#2 tool,#3 tool,#1 tool time,#2 tool time,#3 tool time
Brighten Eyes+Action-Advanced Photoshop Tutorial 2,Brush -> Gradient -> Brush -> Gradient -> Brush -> Gradient -> Blur -> Gradient -> Blur -> Gradient -> Blur -> Gradient -> Blur -> Gradient -> Blur -> Crop -> Blur -> Line -> Blur -> Pen -> Line -> Pen -> Blur -> Note -> Blur -> Note -> Blur -> Brush -> Blur -> Burn -> Blur -> Pen -> Blur -> Pen -> Gradient -> Dodge -> Gradient -> Move -> Gradient -> Move -> Gradient -> Dodge -> Gradient -> Dodge -> Gradient,Retouching,Expert,Young,,Male,,,,UK,,,,Blur,Gradient,Brush,204,196,78
Brighten Eyes+Action-Advanced Photoshop Tutorial 3,Brush -> Gradient -> Brush -> Gradient -> Brush -> Gradient -> Blur -> Gradient -> Blur -> Gradient -> Blur -> Gradient -> Blur -> Gradient -> Blur -> Crop -> Blur -> Line -> Blur -> Pen -> Line -> Pen -> Blur -> Note -> Blur -> Note -> Blur -> Brush -> Blur -> Burn -> Blur -> Pen -> Blur -> Pen -> Gradient -> Dodge -> Gradient -> Move -> Gradient -> Move -> Gradient -> Dodge -> Gradient -> Dodge -> Gradient,Retouching,Expert,Young,,Male,,,,UK,,,,Blur,Gradient,Brush,204,196,78
Call of duty poster ｜ Photoshop Manipulation Speed Art Tutorial,Note -> Pen -> Move -> Blur -> Pen -> Brush -> Pen -> Rectangle -> Pen -> Blur -> Note -> Blur -> Pen -> Blur -> Move -> Blur -> Note -> Blur -> Pen -> Blur -> Pen -> Blur -> Pen -> Move -> Blur -> Pen -> Blur -> Pen -> Blur -> Move -> Blur -> Move -> Pen -> Blur -> Move -> Blur -> Zoom -> Note -> Blur -> Pen -> Blur -> Pen -> Blur -> Move -> Pen -> Zoom -> Brush -> Zoom -> Pen -> Blur -> Zoom -> Blur -> Zoom -> Blur -> Zoom -> Blur -> Brush -> Pen -> Zoom -> Brush -> Zoom -> Brush -> Lasso -> Gradient -> Zoom -> Gradient -> Zoom -> Brush -> Zoom -> Pen -> Move -> Pen -> Blur -> Pen -> Blur -> Pen -> Zoom -> Count -> Zoom -> Note -> Zoom -> Brush -> Zoom -> Pen -> Gradient -> Zoom -> Move -> Pen -> Zoom -> Note -> Zoom -> Blur -> Note -> Pen -> Zoom -> Pen -> Zoom -> Blur -> Zoom -> Pen -> Blur -> Count -> Zoom -> Brush -> Pen -> Zoom -> Line -> Zoom,Graphic Designing,Beginner,Young,,Male,,,,UK,,,,Pen,Zoom,Blur,206,189,156
Car Mockup Photoshop in Adobe Photoshop.,Gradient -> Pen -> Gradient -> Lasso -> Gradient -> Lasso -> Gradient -> Lasso -> Gradient -> Lasso -> Gradient -> Pen -> Gradient -> Note -> Gradient -> Note -> Blur -> Gradient -> Blur -> Gradient -> Rectangle -> Gradient -> Rectangle -> Gradient -> Rectangle -> Gradient -> Rectangle -> Gradient -> Rectangle -> Gradient -> Rectangle -> Gradient -> Rectangle -> Gradient -> Dodge -> Gradient -> Dodge -> Gradient -> Rectangle -> Gradient -> Rectangle -> Gradient -> Rectangle -> Gradient -> Rectangle -> Gradient -> Rectangle -> Gradient -> Rectangle -> Gradient -> Rectangle -> Gradient -> Rectangle -> Gradient -> Rectangle -> Gradient -> Ruler -> Rectangle -> Ruler -> Gradient -> Rectangle -> Gradient -> Rectangle -> Gradient -> Ruler -> Rectangle -> Gradient -> Rectangle -> Gradient -> Rectangle -> Gradient -> Rectangle -> Gradient -> Rectangle -> Gradient -> Rectangle -> Gradient -> Pen -> Gradient -> Rectangle -> Ruler -> Rectangle -> Move -> Rectangle -> Gradient -> Ruler -> Rectangle -> Ruler -> Gradient -> Rectangle -> Gradient -> Move -> Rectangle -> Gradient -> Rectangle -> Gradient -> Rectangle -> Gradient -> Rectangle -> Gradient,3D Mockups,Expert,Young,7/12/2022,Male,31.0,594.0,21.0,Pakistan,https://www.youtube.com/watch?v=1aQsuoqDKkw&list=PLIke35aX3K3n5qW69OR5VrPFCOoj4pGyd,,,Gradient,Rectangle,Pen,1044,99,17
China Secrets ｜ Advanced Photoshop Manipulation,Pen -> Rectangle -> Line -> Move -> Pen -> Move -> Line -> Pen -> Move -> Brush -> Pen -> Gradient -> Zoom -> Move -> Zoom -> Brush -> Note -> Gradient -> Pen -> Move -> Gradient -> Zoom -> Gradient -> Pen -> Zoom -> Gradient -> Brush -> Pen -> Zoom -> Pen,Special Effects,Expert,Young,,Female,,,,UK,,,,Pen,Gradient,Zoom,284,188,68
Compositing Techniques To Make Better Merch Designs (Photoshop Tutorial),Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Move -> Brush -> Pen -> Move -> Pen -> Gradient -> Brush -> Gradient -> Move -> Brush -> Gradient -> Move -> Brush -> Gradient -> Brush -> Pen -> Move -> Pen -> Move -> Brush -> Move -> Brush -> Pen -> Brush -> Pen -> Move -> Brush -> Move -> Brush -> Move -> Pen -> Note -> Pen -> Brush -> Pen -> Brush -> Pen -> Move -> Pen -> Move -> Pen -> Line -> Pen -> Brush -> Pen -> Zoom -> Move -> Pen -> Zoom -> Move -> Pen -> Zoom -> Pen -> Zoom -> Pen -> Zoom -> Pen -> Zoom -> Pen -> Zoom -> Pen -> Zoom -> Brush -> Pen -> Zoom -> Pen -> Zoom -> Pen -> Zoom -> Pen,Graphic Designing,Beginner,Young,4/16/2024,Male,567.0,7577.0,7.0,US,https://www.youtube.com/watch?v=gKwezxf_aaY&list=PLIke35aX3K3nEAwuuGYumzQB0aLH5OQM-&index=2,,,Pen,Brush,Zoom,143,69,55
Compositing in Adobe Photoshop with Aaron Nace from Phlearn - 1 of 2 ｜ Adobe Creative Cloud,Pen -> Brush -> Pen -> Crop -> Pen -> Crop -> Pen -> Crop -> Brush -> Pen -> Note -> Slice -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Blur -> Brush -> Blur -> Pen -> Blur -> Pen -> Brush -> Pen -> Brush -> Blur -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Line -> Pen -> Blur -> Brush -> Zoom -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Gradient -> Pen -> Brush -> Pen -> Brush -> Marquee -> Brush -> Pen -> Zoom -> Eraser -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Note -> Brush -> Pen -> Crop -> Gradient -> Pen -> Brush -> Pen -> Brush -> Note -> Brush -> Pen -> Brush -> Dodge -> Gradient -> Dodge -> Pen -> Dodge -> Pen -> Dodge -> Pen -> Brush -> Zoom -> Note -> Brush -> Pen -> Brush -> Count -> Brush -> Pen -> Brush -> Pen -> Brush -> Gradient -> Pen -> Line -> Pen -> Line -> Pen -> Gradient -> Pen -> Blur -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Move -> Pen -> Brush -> Line -> Brush -> Pen -> Blur -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Note -> Pen -> Line -> Brush -> Line -> Hand -> Line -> Pen -> Blur -> Brush -> Pen -> Brush -> Note -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Count -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Gradient -> Pen -> Line -> Pen -> Blur -> Pen -> Brush -> Pen -> Brush -> Gradient -> Pen -> Gradient -> Pen -> Brush -> Pen -> Brush -> Pen -> Line -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Zoom -> Count -> Pen -> Ruler -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Line -> Pen -> Burn -> Pen -> Line -> Pen -> Brush -> Count -> Pen -> Blur -> Brush -> Pen -> Slice -> Line -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Line -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Zoom -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Count -> Note -> Pen -> Note -> Pen -> Line -> Pen -> Note -> Pen -> Brush -> Pen -> Brush -> Pen -> Blur -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Move -> Crop -> Pen -> Brush -> Dodge -> Brush -> Move -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Slice -> Brush -> Pen -> Brush -> Line -> Brush -> Line -> Pen -> Line -> Pen -> Line -> Pen -> Note -> Pen -> Slice -> Brush -> Zoom -> Pen -> Brush -> Pen,Special Effects,Beginner,Young,,Male,,,,UK,,,,Pen,Brush,Line,4262,1962,121
Create a NEON UTOPIA in PHOTOSHOP - GuideRunner EP7 Photo Manipulation,Pen -> Note -> Pen -> Move -> Gradient -> Pen -> Line -> Move -> Pen -> Move -> Gradient -> Brush -> Pen -> Move -> Pen -> Line -> Pen -> Line -> Brush -> Line -> Count -> Line -> Pen -> Line -> Dodge -> Burn -> Line -> Move -> Pen -> Dodge -> Pen -> Move -> Brush -> Dodge -> Pen -> Brush -> Burn -> Move -> Dodge -> Line -> Pen -> Line -> Move -> Dodge -> Brush -> Dodge -> Pen -> Move -> Dodge -> Move -> Dodge -> Move -> Pen -> Dodge -> Brush -> Dodge -> Brush -> Gradient -> Note -> Pen -> Note -> Move -> Pen -> Brush -> Dodge -> Burn -> Move -> Pen -> Note -> Dodge -> Move -> Note -> Move -> Brush -> Dodge -> Note -> Move -> Pen -> Move -> Brush -> Dodge -> Move -> Note -> Brush -> Note -> Brush,Special Effects,Intermediate,Young,11/25/2021,Male,6100.0,100479.0,12.0,UK,,,,Pen,Line,Brush,112,76,67
Create a REALISTIC CHROME TEXT Effect in Photoshop 3D [Easy-To-Follow Tutorial],Pen -> Gradient -> Horizontal Type -> Brush -> Pen -> Move -> Line -> Pen -> Line -> Note -> Eraser -> Pen -> Lasso -> Ruler -> Pen -> Lasso -> Pen -> Move -> Line -> Move -> Line -> Move -> Pen -> Line -> Pen -> Lasso -> Line -> Pen -> Line -> Pen -> Move -> Pen -> Custom Shape -> Line -> Pen -> Move -> Brush -> Hand -> Pen -> Line -> Marquee -> Move -> Line -> Move -> Pen -> Move -> Polygon -> Brush -> Move -> Pen -> Line -> Pen -> Gradient -> Pen -> Blur -> Sharpen -> Pen -> Sharpen -> Crop -> Pen -> Blur -> Pen -> Move -> Blur -> Move -> Line -> Move -> Pen,3D Mockups,Expert,Middle-aged,9/20/2018,Male,11000.0,365319.0,29.0,US,https://www.youtube.com/watch?v=IOCvpmxO6V8&list=PLIke35aX3K3n5qW69OR5VrPFCOoj4pGyd&index=2,,,Pen,Move,Line,430,419,224
Creating a Monster Hunt in Photoshop ｜ Photo Manipulation Speed Art,Pen -> Count -> Zoom -> Pen -> Line -> Pen -> Hand -> Line -> Quick Selection -> Brush -> Pen -> Note -> Brush -> Pen -> Lasso -> Pen -> Brush -> Pen -> Brush -> Line -> Brush -> Lasso -> Pen -> Brush -> Pen -> Dodge -> Zoom -> Lasso -> Zoom -> Pen -> Zoom -> Lasso -> Pen -> Lasso -> Pen -> Brush -> Dodge -> Line -> Note -> Dodge -> Pen -> Line -> Pen -> Dodge -> Pen -> Dodge -> Pen -> Brush -> Pen -> Brush -> Pen -> Blur -> Line -> Blur -> Gradient -> Pen -> Blur -> Pen -> Blur -> Move -> Blur,Digital Painting,Beginner,Young,,Female,,,,UK,,,,Pen,Brush,Blur,252,91,68
Creating a Neon Assassin in Photoshop ｜ Cyberpunk Photo Manipulation Speed Art,Pen -> Move -> Line -> Pen -> Line -> Zoom -> Pen -> Line -> Gradient -> Zoom -> Line -> Pen -> Line -> Pen -> Zoom -> Pen -> Brush -> Move -> Hand -> Line -> Hand -> Zoom -> Hand -> Pen -> Blur -> Line -> Note -> Pen -> Hand -> Note -> Brush -> Count -> Pen -> Count -> Line -> Dodge -> Pen -> Dodge -> Pen -> Zoom -> Dodge -> Burn -> Line -> Dodge -> Hand -> Pen -> Gradient -> Dodge -> Line -> Dodge -> Line -> Dodge -> Pen -> Line -> Dodge -> Note -> Zoom -> Blur -> Zoom -> Blur -> Gradient -> Hand -> Blur -> Gradient -> Brush -> Pen -> Line -> Blur -> Gradient -> Zoom -> Gradient -> Pen -> Blur -> Note -> Blur -> Pen -> Note -> Blur -> Note -> Blur -> Pen -> Blur -> Pen -> Dodge -> Blur -> Dodge -> Pen -> Brush -> Pen -> Dodge -> Pen -> Dodge -> Burn -> Dodge -> Line -> Pen -> Blur -> Gradient -> Pen -> Gradient -> Pen -> Brush -> Gradient -> Zoom -> Gradient -> Brush -> Dodge -> Brush -> Dodge -> Pen -> Dodge -> Brush -> Dodge -> Crop -> Dodge -> Pen -> Brush -> Pen -> Move -> Blur -> Move -> Blur -> Line -> Zoom -> Dodge -> Zoom -> Dodge -> Zoom,Special Effects,Beginner,Young,,Female,,,,UK,,,,Pen,Dodge,Zoom,250,151,116
